hs6,sitc3,lall_code
010121,00151,LDC01
010129,00151,LDC01
010130,00152,LDC01
010190,00152,LDC01
010221,00111,LDC01
010229,00119,LDC01
010231,00111,LDC01
010239,00119,LDC01
010290,00119,LDC01
010310,00131,LDC01
010391,00139,LDC01
010392,00139,LDC01
010410,00121,LDC01
010420,00122,LDC01
010511,00141,LDC01
010512,00141,LDC01
010513,00141,LDC01
010514,00141,LDC01
010515,00141,LDC01
010594,00149,LDC01
010599,00149,LDC01
010611,0019,LDC01
010612,0019,LDC01
010613,0019,LDC01
010614,0019,LDC01
010619,0019,LDC01
010620,0019,LDC01
010631,0019,LDC01
010632,0019,LDC01
010633,0019,LDC01
010639,0019,LDC01
010641,0019,LDC01
010649,0019,LDC01
010690,0019,LDC01
020110,01111,LDC01
020120,01111,LDC01
020130,01112,LDC01
020210,01121,LDC01
020220,01121,LDC01
020230,01122,LDC01
020311,01221,LDC01
020312,01221,LDC01
020319,01221,LDC01
020321,01222,LDC01
020322,01222,LDC01
020329,01222,LDC01
020410,01211,LDC01
020421,01211,LDC01
020422,01211,LDC01
020423,01211,LDC01
020430,01212,LDC01
020441,01212,LDC01
020442,01212,LDC01
020443,01212,LDC01
020450,01213,LDC01
020500,0124,LDC01
020610,01251,LDC01
020621,01252,LDC01
020622,01252,LDC01
020629,01252,LDC01
020630,01253,LDC01
020641,01254,LDC01
020649,01254,LDC01
020680,01255,LDC01
020690,01256,LDC01
020711,01231,LDC01
020712,01232,LDC01
020713,01234,LDC01
020714,01235,LDC01
020724,01231,LDC01
020725,01232,LDC01
020726,01234,LDC01
020727,01235,LDC01
020741,01231,LDC01
020742,01232,LDC01
020743,01233,LDC01
020744,01234,LDC01
020745,01235,LDC01
020751,01231,LDC01
020752,01232,LDC01
020753,01233,LDC01
020754,01234,LDC01
020755,01235,LDC01
020760,01234,LDC01
020810,01291,LDC01
020830,01299,LDC01
020840,01299,LDC01
020850,01299,LDC01
020860,01299,LDC01
020890,01299,LDC01
020910,41131,LDC03
020990,41131,LDC03
021011,01611,LDC02
021012,01612,LDC02
021019,01619,LDC02
021020,01681,LDC02
021091,01689,LDC02
021092,01689,LDC02
021093,01689,LDC02
021099,01689,LDC02
030111,03411,LDC01
030119,03411,LDC01
030191,03411,LDC01
030192,03411,LDC01
030193,03411,LDC01
030194,03411,LDC01
030195,03411,LDC01
030199,03411,LDC01
030211,03412,LDC01
030213,03412,LDC01
030214,03412,LDC01
030219,03412,LDC01
030221,03413,LDC01
030222,03413,LDC01
030223,03413,LDC01
030224,03413,LDC01
030229,03413,LDC01
030231,03414,LDC01
030232,03414,LDC01
030233,03414,LDC01
030234,03414,LDC01
030235,03414,LDC01
030236,03414,LDC01
030239,03414,LDC01
030241,03415,LDC01
030242,03418,LDC01
030243,03415,LDC01
030244,03417,LDC01
030245,03418,LDC01
030246,03418,LDC01
030247,03418,LDC01
030251,03416,LDC01
030252,03418,LDC01
030253,03418,LDC01
030254,03418,LDC01
030255,03418,LDC01
030256,03418,LDC01
030259,03418,LDC01
030271,03418,LDC01
030272,03418,LDC01
030273,03418,LDC01
030274,03418,LDC01
030279,03418,LDC01
030281,03418,LDC01
030282,03418,LDC01
030283,03418,LDC01
030284,03418,LDC01
030285,03418,LDC01
030289,03418,LDC01
030290,03419,LDC01
030311,03421,LDC01
030312,03421,LDC01
030313,03421,LDC01
030314,03421,LDC01
030319,03421,LDC01
030323,03428,LDC01
030324,03428,LDC01
030325,03428,LDC01
030326,03428,LDC01
030329,03428,LDC01
030331,03422,LDC01
030332,03422,LDC01
030333,03422,LDC01
030334,03422,LDC01
030339,03422,LDC01
030341,03423,LDC01
030342,03423,LDC01
030343,03423,LDC01
030344,03423,LDC01
030345,03423,LDC01
030346,03423,LDC01
030349,03423,LDC01
030351,03424,LDC01
030353,03424,LDC01
030354,03426,LDC01
030355,03428,LDC01
030356,03428,LDC01
030357,03428,LDC01
030363,03425,LDC01
030364,03428,LDC01
030365,03428,LDC01
030366,03427,LDC01
030367,03428,LDC01
030368,03428,LDC01
030369,03428,LDC01
030381,03428,LDC01
030382,03428,LDC01
030383,03428,LDC01
030384,03428,LDC01
030389,03428,LDC01
030390,03429,LDC01
030431,03451,LDC01
030432,03451,LDC01
030433,03451,LDC01
030439,03451,LDC01
030441,03451,LDC01
030442,03451,LDC01
030443,03451,LDC01
030444,03451,LDC01
030445,03451,LDC01
030446,03451,LDC01
030449,03451,LDC01
030451,03451,LDC01
030452,03451,LDC01
030453,03451,LDC01
030454,03451,LDC01
030455,03451,LDC01
030459,03451,LDC01
030461,0344,LDC01
030462,0344,LDC01
030463,0344,LDC01
030469,0344,LDC01
030471,0344,LDC01
030472,0344,LDC01
030473,0344,LDC01
030474,0344,LDC01
030475,0344,LDC01
030479,0344,LDC01
030481,0344,LDC01
030482,0344,LDC01
030483,0344,LDC01
030484,0344,LDC01
030485,0344,LDC01
030486,0344,LDC01
030487,0344,LDC01
030489,0344,LDC01
030491,03455,LDC01
030492,03455,LDC01
030493,03455,LDC01
030494,03455,LDC01
030495,03455,LDC01
030499,03455,LDC01
030510,0355,LDC02
030520,0354,LDC02
030531,03512,LDC02
030532,03512,LDC02
030539,03512,LDC02
030541,0353,LDC02
030542,0353,LDC02
030543,0353,LDC02
030544,0353,LDC02
030549,0353,LDC02
030551,03511,LDC02
030559,03513,LDC02
030561,03529,LDC02
030562,03521,LDC02
030563,03522,LDC02
030564,03529,LDC02
030569,03529,LDC02
030571,03513,LDC02
030572,03529,LDC02
030579,03529,LDC02
030611,03619,LDC01
030612,03619,LDC01
030614,03619,LDC01
030615,03619,LDC01
030616,03611,LDC01
030617,03611,LDC01
030619,03619,LDC01
030621,0362,LDC01
030622,0362,LDC01
030624,0362,LDC01
030625,0362,LDC01
030626,0362,LDC01
030627,0362,LDC01
030629,0362,LDC01
030711,03631,LDC01
030719,03631,LDC01
030721,03635,LDC01
030729,03639,LDC01
030731,03635,LDC01
030739,03639,LDC01
030741,03633,LDC01
030749,03637,LDC01
030751,03633,LDC01
030759,03637,LDC01
030760,01293,LDC01
030771,03635,LDC01
030779,03639,LDC01
030781,03635,LDC01
030789,03639,LDC01
030791,03635,LDC01
030799,03639,LDC01
030811,03635,LDC01
030819,03639,LDC01
030821,03635,LDC01
030829,03639,LDC01
030830,03639,LDC01
030890,03639,LDC01
040110,02211,LDC01
040120,02212,LDC01
040140,02213,LDC01
040150,02213,LDC01
040210,02221,LDC01
040221,02222,LDC01
040229,02222,LDC01
040291,02223,LDC01
040299,02224,LDC01
040310,02231,LDC01
040390,02232,LDC01
040410,02241,LDC01
040490,02249,LDC01
040510,0230,LDC02
040520,0230,LDC02
040590,0230,LDC02
040610,02491,LDC02
040620,0241,LDC02
040630,0242,LDC02
040640,0243,LDC02
040690,02499,LDC02
040711,0251,LDC01
040719,0251,LDC01
040721,0251,LDC01
040729,0251,LDC01
040790,0251,LDC01
040811,02521,LDC01
040819,02522,LDC01
040891,02521,LDC01
040899,02522,LDC01
040900,0616,LDC02
041000,09892,LDC02
050100,29191,LDC01
050210,29192,LDC01
050290,29192,LDC01
050400,29193,LDC01
050510,29195,LDC01
050590,29195,LDC01
050610,29111,LDC01
050690,29111,LDC01
050710,29116,LDC01
050790,29116,LDC01
050800,29115,LDC01
051000,29198,LDC01
051110,29194,LDC01
051191,29196,LDC01
051199,29199,LDC01
060110,29261,LDC01
060120,29261,LDC01
060210,29269,LDC01
060220,29269,LDC01
060230,29269,LDC01
060240,29269,LDC01
060290,29269,LDC01
060311,29271,LDC01
060312,29271,LDC01
060313,29271,LDC01
060314,29271,LDC01
060315,29271,LDC01
060319,29271,LDC01
060390,29271,LDC01
060420,29272,LDC01
060490,29272,LDC01
070110,0541,LDC01
070190,0541,LDC01
070200,0544,LDC01
070310,05451,LDC01
070320,05452,LDC01
070390,05452,LDC01
070410,05453,LDC01
070420,05453,LDC01
070490,05453,LDC01
070511,05454,LDC01
070519,05454,LDC01
070521,05454,LDC01
070529,05454,LDC01
070610,05455,LDC01
070690,05455,LDC01
070700,05456,LDC01
070810,05457,LDC01
070820,05457,LDC01
070890,05457,LDC01
070920,05459,LDC01
070930,05459,LDC01
070940,05459,LDC01
070951,05458,LDC01
070959,05458,LDC01
070960,05459,LDC01
070970,05459,LDC01
070991,05459,LDC01
070992,05459,LDC01
070993,05459,LDC01
070999,05459,LDC01
071010,05469,LDC01
071021,05469,LDC01
071022,05469,LDC01
071029,05469,LDC01
071030,05469,LDC01
071040,05461,LDC01
071080,05469,LDC01
071090,05469,LDC01
071120,0547,LDC01
071140,0547,LDC01
071151,0547,LDC01
071159,0547,LDC01
071190,0547,LDC01
071220,05612,LDC02
071231,05613,LDC02
071232,05613,LDC02
071233,05613,LDC02
071239,05613,LDC02
071290,05619,LDC02
071310,05421,LDC01
071320,05422,LDC01
071331,05423,LDC01
071332,05423,LDC01
071333,05423,LDC01
071334,05423,LDC01
071335,05423,LDC01
071339,05423,LDC01
071340,05424,LDC01
071350,05425,LDC01
071360,05429,LDC01
071390,05429,LDC01
071410,05481,LDC01
071420,05483,LDC01
071430,05483,LDC01
071440,05483,LDC01
071450,05483,LDC01
071490,05483,LDC01
080111,05771,LDC01
080112,05771,LDC01
080119,05771,LDC01
080121,05772,LDC01
080122,05772,LDC01
080131,05773,LDC01
080132,05773,LDC01
080211,05774,LDC01
080212,05774,LDC01
080221,05775,LDC01
080222,05775,LDC01
080231,05776,LDC01
080232,05776,LDC01
080241,05777,LDC01
080242,05777,LDC01
080251,05778,LDC01
080252,05778,LDC01
080261,05779,LDC01
080262,05779,LDC01
080270,05779,LDC01
080280,05779,LDC01
080290,05779,LDC01
080310,0573,LDC01
080390,0573,LDC01
080410,05796,LDC01
080420,0576,LDC01
080430,05795,LDC01
080440,05797,LDC01
080450,05797,LDC01
080510,05711,LDC01
080520,05712,LDC01
080540,05722,LDC01
080550,05721,LDC01
080590,05729,LDC01
080610,05751,LDC01
080620,05752,LDC01
080711,05791,LDC01
080719,05791,LDC01
080720,05791,LDC01
080810,0574,LDC01
080830,05792,LDC01
080840,05792,LDC01
080910,05793,LDC01
080921,05793,LDC01
080929,05793,LDC01
080930,05793,LDC01
080940,05793,LDC01
081010,05794,LDC01
081020,05794,LDC01
081030,05798,LDC01
081040,05794,LDC01
081050,05798,LDC01
081060,05798,LDC01
081070,05798,LDC01
081090,05798,LDC01
081110,05831,LDC02
081120,05832,LDC02
081190,05839,LDC02
081210,05821,LDC02
081290,05821,LDC02
081310,05799,LDC01
081320,05799,LDC01
081330,05799,LDC01
081340,05799,LDC01
081350,05799,LDC01
081400,05822,LDC02
090111,07111,LDC01
090112,07112,LDC01
090121,0712,LDC01
090122,0712,LDC01
090190,07132,LDC01
090210,07411,LDC01
090220,07412,LDC01
090230,07413,LDC01
090240,07414,LDC01
090300,07431,LDC01
090411,07511,LDC01
090412,07512,LDC01
090421,07513,LDC01
090422,07513,LDC01
090510,07521,LDC01
090520,07521,LDC01
090611,07522,LDC01
090619,07522,LDC01
090620,07523,LDC01
090710,07524,LDC01
090720,07524,LDC01
090811,07525,LDC01
090812,07525,LDC01
090821,07525,LDC01
090822,07525,LDC01
090831,07525,LDC01
090832,07525,LDC01
090921,07526,LDC01
090922,07526,LDC01
090931,07526,LDC01
090932,07526,LDC01
090961,07526,LDC01
090962,07526,LDC01
091011,07527,LDC01
091012,07527,LDC01
091020,07528,LDC01
091030,07529,LDC01
091091,07529,LDC01
091099,07529,LDC01
100111,0411,LDC01
100119,0411,LDC01
100191,0412,LDC01
100199,0412,LDC01
100210,0451,LDC01
100290,0451,LDC01
100310,0430,LDC01
100390,0430,LDC01
100410,0452,LDC01
100490,0452,LDC01
100510,0441,LDC01
100590,0449,LDC01
100610,0421,LDC01
100620,0422,LDC01
100630,04231,LDC01
100640,04232,LDC01
100710,0453,LDC01
100790,0453,LDC01
100810,04592,LDC01
100821,04591,LDC01
100829,04591,LDC01
100830,04593,LDC01
100840,04599,LDC01
100850,04599,LDC01
100860,04599,LDC01
